Type,Method,Number of Coefficients
Dense Bends,12,1
Dense Bends,13,2
Dense Bends,14-52,0,Dense Horizontal
Dense Bends,53-99,0,Dense Vertical
Dense Acceleration,1,0
Dense Acceleration,2,0
Dense Acceleration,3,2
Dense Acceleration,4,0
Dense Acceleration,5,1
Dense Acceleration,6,0
Dense Acceleration,7,0
Dense Acceleration,8,0
Dense Acceleration,9,2
Dense Acceleration,10,0
Dense Acceleration,11,1
Dense Acceleration,12,0
Dense Acceleration,13,0
Dense Acceleration,14,0
Dense Acceleration,15,2
Dense Acceleration,16,0
Dense Acceleration,17,1
Dense Acceleration,18,0
Dense Acceleration,19,0
Dense Acceleration,20,0
Dense Acceleration,21,2
Dense Acceleration,22,0
Dense Acceleration,23,1
Dense Acceleration,24,0
Dense Acceleration,25,0
Dense Acceleration,26,0
Dense Acceleration,27,0
Dense Acceleration,28,0
Dense Acceleration,29,2
Dense Acceleration,30,0
Dense Acceleration,31,1
Dense Acceleration,32,0
Dilute Horizontal,85,10
Dilute Vertical,26,10
Dilute Bends,121,10
Dilute Acceleration,23,9
Dilute Horizontal,86,18
Dilute Vertical,27,18
Dilute Bends,122,18
Dilute Acceleration,24,16
Dilute Horizontal,87,18
Dilute Vertical,28,18
Dilute Bends,123,18
Dilute Acceleration,25,18
Dilute Horizontal,88,3
Dilute Horizontal,89,1
Dilute Horizontal,90,4
Dilute Horizontal,91,5
Dilute Horizontal,92,3
Dilute Horizontal,93,2
Dilute Horizontal,94,4
Dilute Horizontal,95,4
Dilute Horizontal,96,4
Dilute Vertical,29,1
Dilute Vertical,30,2
Dilute Vertical,31,4
Dilute Vertical,32,4
Dilute Vertical,33,2
Dilute Vertical,34,4
Dilute Horizontal,97,0
Dilute Vertical,35,0
Dilute Vertical,36,0
Dilute Bends,124,0
Dilute Bends,125,0
Dilute Bends,126,0
Dilute Bends,127,0
Dilute Bends,128,0
Dilute Acceleration,26,0
